Line #,Name,Description,Designator,Footprint,Revision ID,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,0.25R,,"R49, R52, R53, R54, R55, R56, R57, R58, R59, R93, R95, R96",0402 RESISTOR,,12,Venkel,LCR0402-R250FT,Unknown,,,,
,330R,,"R50, R105",0201 RESISTOR,,2,Yageo,RC0201JR-07330RL,Volume Production,Digi-Key,311-330NCT-ND,0.1,0.2
,8.06K,,R51,0402 RESISTOR,,1,Bourns,CR0402-FX-8061GLF,Volume Production,Digi-Key,CR0402-FX-8061GLFDKR-ND,0.1,0.1
,TACTILE SWITCH SPST,,SW2,EVPAA,,1,Panasonic,EVPAA702W,Volume Production,Farnell,2831734,0.69072,0.69072
,ON_OFF_SWITCH,SPDT SMD Side Switch,SW3,SWTICH_SMD_SIDE,,1,E-Switch,EG1257,Volume Production,Newark,15N7308,0.766,0.766
,10K NTC,,TM1,0402 RESISTOR,,1,TDK,NTCG103JF103FT1,Volume Production,Digi-Key,445-2550-1-ND,0.1,0.1
,Test point small,,"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30",TEST POINT SMD SUPER SMALL,,30,,,,,,,
,MAX9814,"MAXIM INTEGRATED PRODUCTS   MAX9814ETD+T   Audio Power Amplifier, AB, 1, 2.7V to 5.5V, TDFN, 14",U1,MAX9814,,1,Maxim,MAX9814ETD+T,Not Recommended for New Design,Digi-Key,MAX9814ETD+TCT-ND,1.65,1.65
,MAX98306,IC AMP AUDIO 3.7W STER D 14TDFN,"U2, U3, U4, U5, U6, U7",MAX98306,,6,Maxim,MAX98306ETD+T,Volume Production,Digi-Key,MAX98306ETD+TCT-ND,1.91,11.46
,MAX14661,MAX14661ETI+TCT-ND,"U8, U9",MAX14661,,2,Maxim,MAX14661ETI+T,Volume Production,Digi-Key,MAX14661ETI+TCT-ND,7.38,14.76
,CMM-4030DT-26354,100Hz-10kHz Digital ODM microphone,U10,CMM-4030DT-26254,,1,CUI Devices,CMM-4030DT-26354-TR,Unknown,Digi-Key,102-5100-1-ND,2.24,2.24
,BQ24040,,U11,WSON-10,,1,Texas Instruments,BQ24041DSQT,Volume Production,Digi-Key,296-25137-6-ND,1.4,1.4
,MAX4073,High side current sensing amp,U12,MAX4073-SC70,,1,Maxim,MAX4073TAXK+T,Volume Production,Digi-Key,MAX4073TAXK+TCT-ND,1.91,1.91
,ADG802BRTZ-500RL7,"<0.4 Ohm CMOS 1.8 to 5.5 V SPST Switch, -40 to 125 degC, 6-pin SOT23 (RJ-6), Reel",U13,ADI-RJ-6_M,CMP-0790-00102-1,1,Analog Devices,ADG802BRTZ-500RL7,Volume Production,Digi-Key,ADG802BRTZ-500RL7DKR-ND,2.89,2.89
,MDBT50Q-1MV2,MDBT50Q-1M NRF52840 BASED BLE MO,U14,MDBT50Q-1MV2,,1,Seeed Studio,113990582,Unknown,Digi-Key,1597-1678-ND,,
,TPS7A05,3.3V LDO SMD,U15,SOT-23-5,,1,Texas Instruments,TPS7A0533PDBVR,Unknown,Digi-Key,296-TPS7A0533PDBVRCT-ND,0.59,0.59
,LIS3DHTR,"MEMS Digital Output Motion Sensor Ultra Low-Power High Performance 3-Axes ""nano"" Accelerometer, 1.71 to 3.6 V, -40 to 85 degC, 16-pin (LGA-16), Pb-Free, Tape and Reel",U16,STM-LGA-16,CMP-0234-00055-4,1,STMicroelectronics,LIS3DHTR,Volume Production,Arrow Electronics,LIS3DHTR,1.36,1.36
,GD25Q16CEIGR,16Mbit flash memory,U17,USON8 16Mbit flash memory,,1,GigaDevice,GD25Q16CEIGR,Unknown,Digi-Key,1970-1011-1-ND,0.54,0.54
,LMV321M7,"General Purpose, Low Voltage, Rail-to-Rail Output Operational Amplifiers, 5-pin SC-70",U18,DCK0005A_L,CMP-0055-01049-3,1,TI National Semiconductor,LMV321M7/NOPB,Volume Production,Arrow Electronics,LMV321M7/NOPB,0.7977,0.7977
,32.768kHz,"XTAL SMD 3215, 32.768kHz, Cl=9pF, Total Tol: ±50ppm",X1,32.768 Crystal,,1,ECS International,ECS-.327-9-34B-TR,Volume Production,Digi-Key,XC1950CT-ND,0.68,0.68
